label,message
spam,Congratulations! You've won a $500 gift card. Click here to claim: http://scam.com/claim
ham,"Hey, are we still meeting at 5 PM today?"
spam,You have been selected for a cash prize of $1000. Call +919876543210 immediately!
ham,Happy Birthday! Hope you have an amazing day!
ham,Please remind me to pick up keys on my way home.
spam,"Dear user, you are eligible for a loan of $1000. Apply now: http://freegift.co"
spam,Your parcel is waiting. Confirm delivery at http://freegift.co
spam,Win a free iPhone by participating here: http://freegift.co
spam,Hot singles in your area want to chat! Click http://verify-now.net
spam,Hot singles in your area want to chat! Click http://freegift.co
ham,Happy Birthday! Hope you have an amazing day!
ham,Are you coming to the party tonight?
spam,Get cheap watch at 90% off. Visit http://verify-now.net now!
spam,Urgent! Your account will be suspended. Verify now: http://bit.ly/winprize
ham,Let’s catch up over coffee sometime this week.
ham,"I'll call you after work, probably around 5 PM."
spam,Win a free iPhone by participating here: http://verify-now.net
spam,Claim your free laptop today. Limited offer: http://bit.ly/winprize
spam,Get cheap phone at 90% off. Visit http://scam.com/claim now!
spam,Hot singles in your area want to chat! Click http://verify-now.net
spam,Claim your free watch today. Limited offer: http://verify-now.net
spam,Congratulations! You've won a $2000 gift card. Click here to claim: http://freegift.co
ham,Thanks for helping me with the presentation yesterday.
spam,Hot singles in your area want to chat! Click http://bit.ly/winprize
ham,Can you send me the notes from math class?
spam,Congratulations! You've won a $1000 gift card. Click here to claim: http://scam.com/claim
ham,Don't forget to bring the laptop tomorrow.
ham,Happy Birthday! Hope you have an amazing day!
ham,Please remind me to pick up charger on my way home.
spam,Your parcel is waiting. Confirm delivery at http://scam.com/claim
ham,Please remind me to pick up keys on my way home.
spam,Claim your free phone today. Limited offer: http://scam.com/claim
ham,Thanks for helping me with the assignment yesterday.
ham,"Hey, are we still meeting at 8 AM today?"
ham,Can you send me the notes from computer class?
spam,Hot singles in your area want to chat! Click http://bit.ly/winprize
spam,You have been selected for a cash prize of $1000. Call +1800123456 immediately!
spam,Congratulations! You've won a $100 gift card. Click here to claim: http://verify-now.net
ham,Are you coming to the concert tonight?
ham,Good luck with your coding test tomorrow!
ham,Please remind me to pick up charger on my way home.
spam,Win a free iPhone by participating here: http://freegift.co
ham,Please remind me to pick up charger on my way home.
spam,Your parcel is waiting. Confirm delivery at http://verify-now.net
ham,Can you send me the notes from math class?
ham,"Hey, are we still meeting at 7:30 PM today?"
spam,Urgent! Your account will be suspended. Verify now: http://scam.com/claim
spam,Win a free iPhone by participating here: http://bit.ly/winprize
spam,Earn $250 working from home. Sign up at http://verify-now.net
ham,Good luck with your final project tomorrow!
spam,Earn $250 working from home. Sign up at http://scam.com/claim
ham,Are you coming to the game night tonight?
